"category_slug","category_name","product_url","product_slug","name","model","price_hkd","hero_image","gallery_images","description_text","description_html"
"mother-days-gifts|negative-ion-hair-dryer-series","母親節精選產品|電風筒","https://imarflex.net/products/imarflex-1600w-negative-ion-hair-dryer-pink-ihd-1600pn","imarflex-1600w-negative-ion-hair-dryer-pink-ihd-1600pn","""伊瑪牌"" 1600W負離子電風筒(粉紅)","IHD-1600PN","HK$399.00","https://img.shoplineapp.com/media/image_clips/69aa4b39f068ae4b41d10918/original.jpg?1772768056=&owner_id=68ad75b9a747ec007a2e271b","https://shoplineimg.com/68ad75b9a747ec007a2e271b/68f5a7353c187e0010b7012a/2160x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/697993888283a47f465fe742/720x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/6979938b1386c763cfe3a7db/720x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/6979938f60aad56e4189f1f7/720x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69799392fd78674211fdb21a/720x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69799394744782754808931e/720x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/697993974ca04f54661ef9d9/720x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/6979939cf0203e14fab8ab31/720x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/6979939c8283a475605fea02/720x.JPG?","","<!-- START SHOPLINE RICH CONTENT -->
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<!-- END SHOPLINE RICH CONTENT -->"
"mother-days-gifts|dust-mite-removal-vacuum-cleaner","母親節精選產品|塵蟎機","https://imarflex.net/products/imarflex-rechargeable-cordless-uv-dust-mite-removal-vacuum-cleaner-ivd-100lt","imarflex-rechargeable-cordless-uv-dust-mite-removal-vacuum-cleaner-ivd-100lt","""伊瑪牌"" 充電無線UV除塵蟎吸塵機","IVD-100LT","HK$699.00","https://img.shoplineapp.com/media/image_clips/68f863ef032762000e5e2d9f/original.jpg?1761108975=&owner_id=68ad75b9a747ec007a2e271b","https://shoplineimg.com/68ad75b9a747ec007a2e271b/68f86405c094b10010a94946/2160x.JPG?","","<!-- START SHOPLINE RICH CONTENT -->
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<!-- END SHOPLINE RICH CONTENT -->"
"mother-days-gifts|rice-cooker|quick-logic-rice-cooker-series-1","母親節精選產品|電飯煲|快思邏輯電飯煲","https://imarflex.net/products/imarflex-snow-pot-five-layer-inner-pot-quick-logic-rice-cooker-15l-irc-fc4003","imarflex-snow-pot-five-layer-inner-pot-quick-logic-rice-cooker-15l-irc-fc4003","""伊瑪牌""『雪釜』五層內鍋快思邏輯電飯煲 (1.5L)","IRC-FC4003","HK$699.00","https://img.shoplineapp.com/media/image_clips/68edc9bd4d039c966481bef9/original.jpg?1760414140=&owner_id=68ad75b9a747ec007a2e271b","https://shoplineimg.com/68ad75b9a747ec007a2e271b/68edc9a0067edf0014323d72/2160x.JPG?","","<!-- START SHOPLINE RICH CONTENT -->
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<!-- END SHOPLINE RICH CONTENT -->"
"mother-days-gifts|electric-kettle|health-pot-and-health-preserving-pot","母親節精選產品|電熱水壼|保健壺及養生壼","https://imarflex.net/products/imarflex-white-spring-transparent-30l-glass-health-botte","imarflex-white-spring-transparent-30l-glass-health-botte","""伊瑪牌""『白泉。透』3.0公升玻璃養生壼","GLASS-HEALTH-BOTTE","HK$499.00","https://img.shoplineapp.com/media/image_clips/69aa4d617a63ea1b64c7202f/original.jpg?1772768608=&owner_id=68ad75b9a747ec007a2e271b","https://shoplineimg.com/68ad75b9a747ec007a2e271b/68e72b833a1b6f000a587175/2160x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/697989b0b8018e5072548c73/720x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/697989b614236559706725b6/720x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/697989b8a0f3ff5c76f3315d/720x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/697989bb27569a385a7d0c85/720x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/697989c0220d436224ab9daa/720x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/697989c2137867580c81bc7f/720x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/697989c5c6e1f64f4efb205b/720x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/697989c82ce9095d72d87a05/720x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/697989d9f8c3a2642272ce47/720x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/697989dd11d6713bdcdb63fe/720x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/697989e0f8c3a2625172ce8b/720x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/697989e4fa152354546d74cc/720x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/697989e9232587486aa80d90/720x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/697989ec2ce909609fd8798a/720x.JPG?","","<!-- START SHOPLINE RICH CONTENT -->
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<!-- END SHOPLINE RICH CONTENT -->"
"mother-days-gifts","母親節精選產品","https://imarflex.net/products/famous-9-liter-multifunctional-ceramic-electric-slow-cooker-dyg-35affam","famous-9-liter-multifunctional-ceramic-electric-slow-cooker-dyg-35affam","&#39;""法國名家""  9公升多功能陶瓷電子燉煲","DYG-35AFFAM","HK$699.00","https://img.shoplineapp.com/media/image_clips/69aa4842e7dc37001648abe8/original.jpg?1772767298=&owner_id=68ad75b9a747ec007a2e271b","https://shoplineimg.com/68ad75b9a747ec007a2e271b/690eaf7cc62c9300186c34ff/2160x.JPG?","","<!-- START SHOPLINE RICH CONTENT -->
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<!-- END SHOPLINE RICH CONTENT -->"
"mother-days-gifts|electric-slow-cooker","母親節精選產品|電子燉盅","https://imarflex.net/products/imarflex-18l-multifunctional-electric-slow-cooker-isp-18b","imarflex-18l-multifunctional-electric-slow-cooker-isp-18b","""伊瑪牌"" 1.8公升多功能電子燉盅 ISP-18B","ISP-18B","HK$449.00","https://img.shoplineapp.com/media/image_clips/69aa4f9aa33c5d761192366d/original.jpg?1772769178=&owner_id=68ad75b9a747ec007a2e271b","https://shoplineimg.com/68ad75b9a747ec007a2e271b/690988d32a166414b14ffdf5/2160x.JPG?","","<!-- START SHOPLINE RICH CONTENT -->
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<!-- END SHOPLINE RICH CONTENT -->"
"mother-days-gifts|electric-slow-cooker","母親節精選產品|電子燉盅","https://imarflex.net/products/imarflex-15l-multi-function-glass-electronic-stew-pot-isc-150g","imarflex-15l-multi-function-glass-electronic-stew-pot-isc-150g","""伊瑪牌"" 1.5公升多功能玻璃電子燉盅ISC-150G","ISC-150G","HK$399.00","https://img.shoplineapp.com/media/image_clips/68e5e734c856640014adb5bd/original.png?1759897394=&owner_id=68ad75b9a747ec007a2e271b","https://shoplineimg.com/68ad75b9a747ec007a2e271b/68e88dc2a9b7ad0014280c7c/2160x.JPG?","","<!-- START SHOPLINE RICH CONTENT -->
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<!-- END SHOPLINE RICH CONTENT -->"
"mother-days-gifts|electronic-vault","母親節精選產品|電子瓦罉","https://imarflex.net/products/imarflex-35l-multi-function-electronic-clay-pot-isc-35sa","imarflex-35l-multi-function-electronic-clay-pot-isc-35sa","""伊瑪牌"" 3.5公升多功能電子瓦罉","ISC-35SA","HK$399.00","https://img.shoplineapp.com/media/image_clips/68e721562432a00012c7e44f/original.jpg?1759977813=&owner_id=68ad75b9a747ec007a2e271b","https://shoplineimg.com/68ad75b9a747ec007a2e271b/68e721ca1087ee00109f2f9b/2160x.JPG?","","<!-- START SHOPLINE RICH CONTENT -->
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<!-- END SHOPLINE RICH CONTENT -->"
"mother-days-gifts|other-products|massage-electrical-appliance-series","母親節精選產品|其他產品|按摩器","https://imarflex.net/products/daizou-hot-and-cold-airbag-massage-eye-mask-dz-4600","daizou-hot-and-cold-airbag-massage-eye-mask-dz-4600","""日本大象"" 冷熱氣囊按摩眼罩","DZ-4600","HK$559.00","https://img.shoplineapp.com/media/image_clips/6985a188c33b001acb4fd169/original.png?1770365320=&owner_id=68ad75b9a747ec007a2e271b","https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056aca2d68f133b0344955/2160x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056ae3aa287f0010c958ac/900x.jpg?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056ae30af21a001203f355/720x.jpg?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056ae3d3ccab0016bd8845/900x.png?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056ae3a05588000af7a4dd/900x.png?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056ae3443fb300164c08bc/900x.png?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056ae3a3381d000edbed6c/900x.png?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056ae3e68914000a02131b/1080x.png?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056ae318f907000af4398a/900x.png?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056ae45cdb650018416b1f/900x.png?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056ae43d7e3600144fd4ee/900x.png?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056ae4f4727b0014278a9c/3860x.jpg?","","<!-- START SHOPLINE RICH CONTENT -->
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<!-- END SHOPLINE RICH CONTENT -->"
"mother-days-gifts|other-products|massage-electrical-appliance-series","母親節精選產品|其他產品|按摩器","https://imarflex.net/products/daizou-mini-neck-and-shoulder-massager-dz-4015","daizou-mini-neck-and-shoulder-massager-dz-4015","""日本大象"" 肩頸迷你按摩儀 DZ-4015","DZ-4015","HK$319.00","https://img.shoplineapp.com/media/image_clips/69056b73ea3d6c000a683b36/original.jpg?1761962866=&owner_id=68ad75b9a747ec007a2e271b","https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056999e3a183c57893069a/2160x.JPG?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056a1a5f23bc000a018e64/1296x.png?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056a1a29be6a000a08c212/900x.png?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056a1a9ce0040014f2a4f8/1296x.png?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056a1b650e42000e227869/1296x.png?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056a1b4b24fe0018e5d9ad/1296x.png?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056a1bb05d3b0010098d9d/1296x.png?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056a1b58d5330012af1a0c/1296x.png?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056a1b6fb17e001404ec22/1296x.png?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056a1c049929001036e0fe/1080x.png?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056a1cd3ccab000abd89b6/1512x.png?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056a1ce5d22500107fd9c7/1296x.png?|https://shoplineimg.com/68ad75b9a747ec007a2e271b/69056a1d3d7e36000c4fd350/2160x.png?","","<!-- START SHOPLINE RICH CONTENT -->
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<!-- END SHOPLINE RICH CONTENT -->"
